value_make,value_model,value_variant,value_year,value_petrol,value_transmission,value_mileage,value_first_owner,itemPrice,itemTitle,itemDescriptionContent,locality,district,State
Hyundai,EON,Magna Plus,2012.0,Petrol,Manual,70000,Second,240000,Chevrolet Beat LT- Top model full company maintenance,"Hundai Eon Magna plus
70000kms
No replacements
Chilled AC",Police Quarter, Tiruchirappalli, Tamil Nadu
Hyundai,Santro Xing,GL Plus,2012.0,Petrol,Manual,113000,Second,325000,"Hyundai I10 Magna, 2014, Petrol","2012 HYUNDAI SANTRO GL PLUS SECOND OWNER EXCELLENT CONDITION LOAN CAN BE ARRANGED FOR 2LACS CALL TO FINALIZE
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Insurance: Yes
Color: Red
Air Conditioning: With Heater
USB Compatibility: Yes
Aux Compatibility: Yes
Registration Place: TN
AM/FM Radio: Yes
Power Windows: Front
Fog Lamps: Yes
Interior color: Grey
Finance: Yes
Exchange: Yes
Type of Car: Hatchback
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Make Month: June
Lock System: Remote Controlled Central",Ram Nagar, Madurai, Tamil Nadu
Ford,Endeavour,2003-2013 2.5L 4X2 MT,2010.0,Diesel,Manual,129000,Second,725000,Xuv 500 - 2012,"A/C P/S P/W C/L ABS AIR BAGS ALLOY WHEEL LOCATION:PUDUKKOTTAI(DIST) KARAMBAKKUDI VANIYA STREET. GAS COMPANY OPPOSITE COMPANY MUSIC SYSTEM FULL INSURANCE COMPANY MAINTANCE ALL PAPER CURRENTS
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Insurance: Yes
Color: White
Air Conditioning: With Heater
Aux Compatibility: Yes
USB Compatibility: Yes
Service History: Available
Anti Theft Device: Yes
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Parking Sensors: Yes
Rear Parking Camera: Yes
Rear Window Wiper: Yes
Power Windows: Front & rear
Vehicle Certified: Yes
Fog Lamps: Yes
Display Screen: Yes
Adjustable External Mirror: Power
Exchange: Yes
Type of Car: SUV
Battery Condition: New
Insurance Type: No Insurance
Condition: Used
ABS: Yes
Power steering: Yes
Adjustable Steering: Yes
Make Month: March
Bluetooth: Yes
Alloy Wheels: Yes
Lock System: Remote Controlled Central
Tyre Condition: New
Number of Airbags: 2 airbags",Thillai Nagar, Tiruchirappalli, Tamil Nadu
Tata,Sumo,,2000.0,Diesel,Manual,90000,Second,160000,"Tata Indigo, 2014","FC LIVE
ADDITIONAL VEHICLE INFORMATION:
Make Month: February
Color: White
Insurance Type: Comprehensive
Condition: Used
Registration Place: TN
AM/FM Radio: Yes
USB Compatibility: Yes
Battery Condition: New
Tyre Condition: New
Service History: Available
Vehicle Certified: Yes
Flood Affected: No
Accidental: No
Insurance: Yes
Finance: Yes
Exchange: Yes",Villapuram, Madurai, Tamil Nadu
Honda,City,i-DTEC SV,2015.0,Diesel,Manual,81000,First,555555,"Volkswagen Polo, 2010, Diesel","single owner diesel military green colour S variant cruise control top and abs airbag alloy wheels no Din no scratches showroom condition Company service engine and Ac excellent condition new tires Chrome alloy wheels price slightly negotiable old car exchange accepted 90 % bank loan 70 % private loans arrangement all type of cards accepted charges apply
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Color: Green
Air Conditioning: Automatic Climate Control
USB Compatibility: Yes
Aux Compatibility: Yes
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Automatic Boot: Yes
Rear Parking Camera: Yes
Parking Sensors: Yes
Flood Affected: No
Rear Window Wiper: Yes
Cruise Control: Yes
Power Windows: Front & rear
Warranty: Yes
Vehicle Certified: Yes
Fog Lamps: Yes
Interior color: Grey
Finance: Yes
Adjustable External Mirror: Power
Exchange: Yes
Type of Car: Sedans
Battery Condition: New
Insurance Type: No Insurance
Condition: New
Power steering: Yes
Adjustable Steering: Yes
ABS: Yes
Make Month: September
Bluetooth: Yes
Alloy Wheels: Yes
Lock System: Remote Controlled Central
Tyre Condition: New
Number of Airbags: 2 airbags",Perambur, Chennai, Tamil Nadu
Renault,Others,Others,2008.0,Petrol,Manual,60000,Second,155000,Renault Logan 2009 TOP MODEL,"Mahindra Renault Logan
Pure Petrol
Mileage 15 Kmpl
Good Condition
Recently oil Service done
Audio Accesories Available
New Tyres",Anna Nagar, Madurai, Tamil Nadu
Maruti Suzuki,Ciaz S,Others,2015.0,Petrol,Manual,80000,Second,560000,"Honda Amaze 1.5 E i-DTEC, 2018, Diesel",Planning to sell immediately nice car with complete service record in showroom,Perambur, Chennai, Tamil Nadu
Maruti Suzuki,Wagon R,LXI,2006.0,Petrol,Manual,150000,More than Four,125000,"Maruti Suzuki Alto LXi BS-III, 2006, Petrol",Petrol and gas FC insurance current 4 tyre good condition,Woraiyur, Tiruchirappalli, Tamil Nadu
Tata,Indica V2,V2 L,2012.0,Diesel,Automatic,186000,Third,105000,Tata Indigo CS 2016,"1,25,000..",Allgudi, Puvalur, Tamil Nadu
Maruti Suzuki,Swift Dzire,LXI,2008.0,Petrol,Manual,77000,Second,325000,"Mahindra Scorpio LX BS-IV, 2006, Diesel","Swift Dzire
2008 model
77000km running
Second owner
ABS
5 alloy wheel with new tyres
EXCELLENT CONDITION interested buyer can dm me
All record papers current",Sadashiv Nagar, Madurai, Tamil Nadu
Maruti Suzuki,Swift Dzire Tour,LDI,2016.0,Diesel,Manual,105000,First,470000,First owner,"BRAND NEW
VERY good condition
New pioneer TV stereo
Rear parking camera",Mahalakshmi Nagar, Thanjavur, Tamil Nadu
Toyota,Fortuner,3.0 4x4 Manual,2011.0,Diesel,Manual,173000,Third,825000,Audi A4 for sale,"2011 Toyota Fortuner 3.0 4WD, Dual AirBags, ABS, Alloy Wheels, 3rd Owner, Full Insurance, Chill Ac, Kenwood TouchScreen Music, Reverse Camera, Remote Lock, Good Tyres, Company Service, Neat Interior With Seat Covers & Exterior, **Finance Available
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Display Screen: Yes
Finance: Yes
Exchange: Yes
Rear Parking Camera: Yes
Insurance Type: Comprehensive
Parking Sensors: Yes
ABS: Yes
Make Month: October
Alloy Wheels: Yes
Number of Airbags: 2 airbags",Nungambakkam, Chennai, Tamil Nadu
Ford,Figo,Duratorq EXI 1.4,2012.0,Diesel,Manual,90000,First,255000,Ford figo well maintain good condition,"Single Owner, Company Maintained, New Tyres, Seat Covers
ADDITIONAL VEHICLE INFORMATION:
Make Month: October
Color: Black
Type of Car: Hatchback
Insurance Type: Comprehensive
Condition: Used
Registration Place: TN
Power steering: Yes
Power Windows: Front
Fog Lamps: Yes
AM/FM Radio: Yes
USB Compatibility: Yes
Aux Compatibility: Yes
Interior color: Black
Lock System: Remote Controlled Central
Tyre Condition: New
Service History: Available",Kalavasal, Madurai, Tamil Nadu
Maruti Suzuki,800,AC,2005.0,Petrol,Manual,71880,Third,95000,Car Sale Urgent Money Need for My Function,Maruti 800 ac good condition,Trichy City, Tiruchirappalli, Tamil Nadu
Maruti Suzuki,Swift Dzire,Swift Dzire Tour,2018.0,Diesel,Manual,89000,First,130000,"Maruti Suzuki Swift Dzire Tour, 2018, Diesel","FOR DUE CONTINUATION ONLY, T. BOARD, 2018, SINGLE OWNER F.C.,INSURANCE CURRENT, PLS CALL ME FOR MORE DETAILS. THANKS
ADDITIONAL VEHICLE INFORMATION:
Color: White
Type of Car: Sedans
Registration Place: TN
Insurance Type: Comprehensive
Condition: Used
Make Month: September",Nungambakkam, Chennai, Tamil Nadu
Maruti Suzuki,Swift,,2017.0,Petrol,,19000,,530111,"Maruti Suzuki Swift ZDi, 2014, Diesel","SHOW ROOM CONDITION
ADDITIONAL VEHICLE INFORMATION:
Tyre Condition: New
Aux Compatibility: Yes
Accidental: No
Flood Affected: No
Registration Place: TN
Insurance Type: Comprehensive
Service History: Available
Power steering: Yes
Color: Grey
Insurance: Yes
Condition: Used
Power Windows: Front & rear
No. of Owners: First
Bluetooth: Yes
Exchange: Yes
Finance: Yes
Type of Car: Hatchback
AM/FM Radio: Yes
Vehicle Certified: Yes
USB Compatibility: Yes
Transmission: Manual
Make Month: January
Battery Condition: New
Lock System: Remote Controlled Central
Adjustable Steering: Yes
Air Conditioning: Automatic Climate Control",Villapuram, Madurai, Tamil Nadu
Volkswagen,Polo,2009-2013 Petrol Trendline 1.2L,2013.0,Petrol,Manual,55000,First,385000,"Skoda Rapid 1.5 TDI CR Ambition, 2012, Diesel","ADDITIONAL VEHICLE INFORMATION:
Color: White
Type of Car: Hatchback
Registration Place: TN
Insurance Type: Comprehensive
Condition: Used
Make Month: December",Nungambakkam, Chennai, Tamil Nadu
Maruti Suzuki,A-Star,Vxi,2012.0,Petrol,Manual,130000,First,240000,Ford Figo Titanium top End Single owner showroom condition,"ADDITIONAL VEHICLE INFORMATION:
Color: Silver
Type of Car: Coupe
Registration Place: TN
Insurance Type: No Insurance
Condition: Used
Make Month: August",KK Nagar, Madurai, Tamil Nadu
Hyundai,i10,Sportz 1.2 Automatic Kappa2,2011.0,Petrol,Automatic,73000,Second,275000,"Hyundai I10 Era, 2013, Petrol","ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Insurance: Yes
Color: Red
Air Conditioning: Automatic Climate Control
USB Compatibility: Yes
Aux Compatibility: Yes
Service History: Not Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Automatic Boot: Yes
Flood Affected: No
Rear Window Wiper: Yes
Power Windows: Front & rear
Vehicle Certified: Yes
Engine Capacity/Displacement (in Cc): 1200
Display Screen: Yes
Interior color: Beige
Adjustable External Mirror: Manual
Exchange: Yes
Type of Car: Hatchback
Battery Condition: New
Insurance Type: No Insurance
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
Make Month: July
Lock System: Central
Tyre Condition: New
Number of Airbags: None",Nungambakkam, Chennai, Tamil Nadu
Skoda,Rapid,2011-2013 1.6 MPI AT Ambition Plus,2019.0,Diesel,Manual,11900,First,1300000,"Skoda Superb Elegance 2.0 TDI CR Automatic, 2015, Diesel",Price 1060000,Railar Nagar, Madurai, Tamil Nadu
Maruti Suzuki,Swift Dzire,1.2 ZXi BSIV,2016.0,Petrol,Manual,52000,Second,645000,"Toyota Innova 2.0 G4, 2008, Diesel","Maruti Suzuki Swift Dzire 2016 December month Petrol top end model with automatic key and push start button
ONLY INTERESTED PERSON CONTACT",Sanjeevi Nagar, Tiruchirappalli, Tamil Nadu
Hyundai,Santro Xing,XG eRLX Euro III,2006.0,Petrol,Manual,75000,Fourth,145000,Sale My Blacky,"Good condition
4 new tyres
Name transfer in trichy
Good millage
Power steering
Power window
A/c",Muthu Nagar, Thiruverumbur, Tamil Nadu
Mahindra,TUV 300,T6,2018.0,Diesel,Manual,65000,First,675000,"Ford Ecosport EcoSport Titanium Plus BE 1.5 TDCi, 2017, Diesel","ADDITIONAL VEHICLE INFORMATION:
Color: Silver
Air Conditioning: Automatic Climate Control
USB Compatibility: Yes
Aux Compatibility: Yes
Anti Theft Device: Yes
Registration Place: TN
AM/FM Radio: Yes
Automatic Boot: Yes
Rear Parking Camera: Yes
Parking Sensors: Yes
Rear Window Wiper: Yes
Cruise Control: Yes
Power Windows: Front & rear
Fog Lamps: Yes
Navigation System: Yes
Interior color: Silver
Adjustable External Mirror: Manual
Type of Car: SUV
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
ABS: Yes
Make Month: June
Bluetooth: Yes
Lock System: Remote Controlled Central
Number of Airbags: 2 airbags",Chellapan Nagar, Pudukkottai, Tamil Nadu
Hyundai,Santro Xing,GL Plus,2012.0,Petrol,Manual,63000,First,325000,"Hyundai I10 Magna, 2014, Petrol","Insurance for one year, 4 new Tyers, company maintained vechile, quality vechile
ADDITIONAL VEHICLE INFORMATION:
Make Month: July
Color: Bordeaux/Maroon
Type of Car: Hatchback
Insurance Type: Comprehensive
Condition: Used
Registration Place: TN
Power steering: Yes
Adjustable Steering: Yes
Air Conditioning: With Heater
Power Windows: Front
Bluetooth: Yes
AM/FM Radio: Yes
USB Compatibility: Yes
Aux Compatibility: Yes
Interior color: Champagne
Lock System: Central
Battery Condition: New
Tyre Condition: New
Service History: Available
Vehicle Certified: Yes
Flood Affected: No
Accidental: No",SS Colony, Madurai, Tamil Nadu
Mahindra,XUV500,W8 4WD,2012.0,Diesel,Manual,94500,Second,750000,"Toyota Innova 2.0 G4, 2009, Diesel","W8 4WD Full automatic
6 Airbag available
Insurance live
Cars 24 value 6.4L
2 owners
Chennai registration",Trichy City, Tiruchirappalli, Tamil Nadu
Hyundai,i20,2015-2017 Sportz Option 1.4 CRDi,2014.0,Diesel,Manual,62200,First,480000,"Volkswagen Polo Comfortline Petrol, 2016, Petrol","ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Insurance: Yes
Color: White
Air Conditioning: Automatic Climate Control
USB Compatibility: Yes
Aux Compatibility: Yes
Anti Theft Device: Yes
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Automatic Boot: Yes
Rear Parking Camera: Yes
Parking Sensors: Yes
Flood Affected: No
Power Windows: Front & rear
Warranty: Yes
Vehicle Certified: Yes
Engine Capacity/Displacement (in Cc): 1400
Fog Lamps: Yes
Interior color: Grey
Finance: Yes
Adjustable External Mirror: Power
Exchange: Yes
Type of Car: Hatchback
Battery Condition: Old
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
ABS: Yes
Make Month: May
Bluetooth: Yes
Alloy Wheels: Yes
Lock System: Remote Controlled Central
Tyre Condition: Old
Number of Airbags: 1 airbag",Royapettah, Chennai, Tamil Nadu
Nissan,Others,Others,2012.0,Diesel,Manual,95000,Second,330000,"Nissan Datsun Redi Go, 2016, Petrol",Diesel variant excellent condition airbag abs very good mileage highways superb condition,Nungambakkam Haddows, Chennai, Tamil Nadu
Tata,Sumo,Others,1999.0,Diesel,Manual,160000,Second,50000,Front sockaboer to be change,Don't miss,Woraiyur, Tiruchirappalli, Tamil Nadu
Maruti Suzuki,Swift Dzire,VDI,2014.0,Diesel,Manual,139000,First,549999,"Toyota Innova 2.0 G4, 2008, Diesel","4tyres are good engine good in vehicle good condition A/c power steering power window k.pudur Moonru maavadi bala cars madurai call me
ADDITIONAL VEHICLE INFORMATION:
Color: Grey
Type of Car: Sedans
Registration Place: TN
Insurance Type: Comprehensive
Condition: Used
Make Month: September",K Pudur, Madurai, Tamil Nadu
Audi,A4,35 TFSI Premium + Sunroof,2015.0,Petrol,Automatic,35000,First,1585000,"Audi A6 2.0 TDI Premium Plus, 2012, Diesel","Audi A4 Premium Plus
Sunroof
IDV 22 lakhs
Valid till 8 jun 2020
6 airbags
Leather seats
single owner
Brand new tyres
Facelift version
Reverse sensors
Price 16.90",Kilpauk, Chennai, Tamil Nadu
Maruti Suzuki,Swift,,2014.0,Diesel,Manual,78323,,450000,"Maruti Suzuki Swift VDi, 2014, Diesel","currency : inr, variant: vdi, number of previous owners : first, insurance :comprehensive
ADDITIONAL VEHICLE INFORMATION:
Color: White
Registration Place: TN
Insurance Type: Comprehensive
Make Month: July
Vehicle Certified: Yes",Trichy City, Tiruchirappalli, Tamil Nadu
Honda,City,2008-2011 1.5 S AT,1998.0,LPG,Automatic,105000,Second,145000,Sale My Blacky,"A/C P/S P/W C/L LOCATION:PUDUKKOTTAI(DIST) KARAMBAKKUDI VANIYA STREET. GAS COMPANY OPPOSITE COMPANY MUSIC SYSTEM FULL INSURANCE COMPANY MAINTANCE ALL PAPER CURRENTS
ADDITIONAL VEHICLE INFORMATION:
Make Month: March
Color: Silver
Type of Car: Sedans
Insurance Type: Comprehensive
Condition: Used
Registration Place: TN
Power steering: Yes
Adjustable Steering: Yes
Air Conditioning: With Heater
Power Windows: Front & rear
Adjustable External Mirror: Manual
Display Screen: Yes
Bluetooth: Yes
AM/FM Radio: Yes
USB Compatibility: Yes
Aux Compatibility: Yes
ABS: Yes
Anti Theft Device: Yes
Rear Parking Camera: Yes
Parking Sensors: Yes
Lock System: Remote Controlled Central
Number of Airbags: None
Battery Condition: New
Tyre Condition: New
Service History: Available
Vehicle Certified: Yes
Flood Affected: No
Accidental: No
Registration Transfer: Yes
Insurance: Yes
Exchange: Yes",Thillai Nagar, Tiruchirappalli, Tamil Nadu
Mahindra,Thar,2010-2015 CRDe AC,2019.0,Diesel,Manual,6000,First,850000,Mahindra Bolero Power Plus SLE,"just 6000 km running
excellent condition
ADDITIONAL VEHICLE INFORMATION:
Color: Black
Type of Car: Minivans
Insurance Type: Comprehensive
Make Month: October",Thillai Nagar, Tiruchirappalli, Tamil Nadu
Toyota,,,2018.0,,,80000,,525000,Mahindra school bus,I need innova,Crawford Colony, Tiruchirappalli, Tamil Nadu
Nissan,Terrano,XV D THP 110 PS,2014.0,Diesel,Manual,132000,Third,300000,New look company maintains,Nissan Terrano Fancy Number Full option (top end)Good Condition interested only response..,Egmore, Chennai, Tamil Nadu
Ford,Ikon,1.4 TDCi DuraTorq,2009.0,Diesel,Manual,113000,Second,160000,"Ford Ikon DuraTorq 1.4 TDCi, 2009, Diesel","come and see the vehicle lets discuss
ADDITIONAL VEHICLE INFORMATION:
Make Month: August
Color: Silver
Type of Car: Sedans
Insurance Type: Third Party
Condition: Used
Registration Place: TN
Engine Capacity/Displacement (in Cc): 1398
Power steering: Yes
Air Conditioning: Automatic Climate Control
Power Windows: Front & rear
Battery Condition: Old
Tyre Condition: Old
Service History: Available
Vehicle Certified: No
Flood Affected: No
Accidental: No",Egmore, Chennai, Tamil Nadu
Hyundai,Santro Xing,XL,2010.0,Petrol,Manual,83050,Second,170000,"Hyundai Santro Xing GLS, 2006, Petrol","Santro xing ,second owner,insurance current",Ayanavaram Kuppamswamy Nagar, Chennai, Tamil Nadu
Volkswagen,Vento,2010-2013 Diesel Breeze,2012.0,Diesel,Manual,96000,First,430000,"Volkswagen Vento Comfortline Diesel, 2013, Diesel","*Volkswagen vento*
*year 2012*
*km 96000*
*single owner*",Alagar Nagar, Madurai, Tamil Nadu
Toyota,,,2016.0,,,175000,,850000,3 month fC current vehicle showroom condition,Rs. 1150000,Shenoy Nagar Aminjikarai, Chennai, Tamil Nadu
Maruti Suzuki,Celerio,ZXI MT,2018.0,Petrol,Manual,14500,Second,385000,2015 Hyundai I10 petrol 36000 Kms,"vehicle in good condition
ADDITIONAL VEHICLE INFORMATION:
Color: Grey
Service History: Available
Type of Car: Sedans
Registration Place: TN
Battery Condition: New
Accidental: No
Insurance Type: Comprehensive
Flood Affected: No
Condition: Used
Power steering: Yes
Tyre Condition: New
Vehicle Certified: Yes",Vandiyur, Madurai, Tamil Nadu
Maruti Suzuki,,,2020.0,,,0,,350000,"Single owner, maruthi h1 tour t board vehicle for sale","Maruti Suzuki Swift dzire tour, Celerio, Alto 800 ,Ertiga BS6 Petro interested person contact",Chennai Central, Chennai, Tamil Nadu
Hyundai,Verna,2011-2014 1.6 SX VTVT (O) AT,2017.0,Diesel,Automatic,25000,First,780000,Polo GT TSI AUTOMATIC PETROL STRICTLY NO TIME PASSERS& STUPID BARGAIN,"2017/11 hyundai verna 1.6 vtvt sx (O) 25000 kms done silver color ful insurance single owner price-10 lacs
ADDITIONAL VEHICLE INFORMATION:
Make Month: November
Color: Silver
Type of Car: Sedans
Insurance Type: Comprehensive
Condition: Used
Registration Place: TN
Power steering: Yes
Cruise Control: Yes
Adjustable Steering: Yes
Flood Affected: No
Accidental: No
Registration Transfer: Yes
Insurance: Yes
Finance: Yes
Exchange: Yes",Royapettah, Chennai, Tamil Nadu
Maruti Suzuki,SX4,2007-2012 ZDI,2012.0,Diesel,Manual,95872,First,350000,"Honda Civic 1.8S Manual, 2009, Petrol","vechile Good condition loan Available Exchange Avaiable
ADDITIONAL VEHICLE INFORMATION:
Color: Grey
Air Conditioning: With Heater
Aux Compatibility: Yes
USB Compatibility: Yes
Registration Place: TN
AM/FM Radio: Yes
Power Windows: Front & rear
Fog Lamps: Yes
Adjustable External Mirror: Manual
Type of Car: Sedans
Insurance Type: No Insurance
Condition: Used
ABS: Yes
Power steering: Yes
Make Month: March
Bluetooth: Yes
Alloy Wheels: Yes
Lock System: Central
Number of Airbags: 2 airbags",K Pudur, Madurai, Tamil Nadu
Maruti Suzuki,SX4,2007-2012 ZDI,2011.0,Diesel,Manual,116000,Second,370000,"Honda City Zx ZX VTEC, 2009, Petrol","Second owner,insurance 1 year current, showroom condition vehicle, company service record
ADDITIONAL VEHICLE INFORMATION:
Make Month: April
Color: Brown
Type of Car: Hatchback
Insurance Type: Comprehensive
Condition: New
Registration Place: TN
Engine Capacity/Displacement (in Cc): 1248
AM/FM Radio: Yes
USB Compatibility: Yes
Aux Compatibility: Yes
Interior color: Maroon
ABS: Yes
Anti Theft Device: Yes
Rear Parking Camera: Yes
Parking Sensors: Yes
Lock System: Remote Controlled Central
Number of Airbags: 2 airbags
Battery Condition: New
Tyre Condition: New
Service History: Available
Vehicle Certified: Yes
Flood Affected: No
Accidental: No
Registration Transfer: Yes
Insurance: Yes
Finance: Yes
Warranty: Yes",Palakkarai, Tiruchirappalli, Tamil Nadu
Maruti Suzuki,Vitara Brezza,ZDi Plus AMT Dual Tone,2018.0,Diesel,Automatic,20000,First,735000,"Mahindra Xuv500 XUV500 W8, 2012, Diesel","Suzuki Vitara Brezza 2018 ZDI+ AMT Dual Tone 20000 km Diesel 5 Speed Automatic Transmission Single Owner Top End Model ABS Dual Airbags Alloywheels PushButton START Keyless Entry LED DRL Projector Headlamps LED Taillamps Auto Climatronic AC Leather Seats Touch Screen Music System GPS Navigation Apple car Play & Android Auto Support Reverse Camera with sensors. Auto Foldable side Mirrors Fancy Number 888 Bumper to Bumper Insurance Madurai Registration Neat interiors Fully company maintenance
ADDITIONAL VEHICLE INFORMATION:
Make Month: August
Color: Gold
Type of Car: SUV
Insurance Type: Zero Dep
Condition: New
Registration Place: TN
Engine Capacity/Displacement (in Cc): 1300
Power steering: Yes
Navigation System: Yes
Adjustable Steering: Yes
Air Conditioning: Automatic Climate Control
Power Windows: Front & rear
Fog Lamps: Yes
Alloy Wheels: Yes
Rear Window Wiper: Yes
Adjustable External Mirror: Power
Display Screen: Yes
Bluetooth: Yes
AM/FM Radio: Yes
USB Compatibility: Yes
Aux Compatibility: Yes
Interior color: Black
ABS: Yes
Anti Theft Device: Yes
Rear Parking Camera: Yes
Parking Sensors: Yes
Lock System: Remote Controlled Central
Number of Airbags: 2 airbags
Battery Condition: New
Tyre Condition: New
Service History: Available
Vehicle Certified: Yes
Flood Affected: No
Accidental: No
Registration Transfer: Yes
Insurance: Yes
Finance: Yes
Warranty: Yes
Exchange: Yes",SS Colony, Madurai, Tamil Nadu
Chevrolet,Spark,1.0 LS,2010.0,Petrol,Manual,70234,First,120000,"Tata Nano Twist XE, 2015, Petrol","CHEVROLET SPARK LS
SINGLE OWNER
INSURANCE EXPIRED
NEW LEATHER SEAT COVERS
NEW SONY SOUND SYSTEM
POWER STEERING
CHILL AC SYSTEM
NEW FRONT TYRES
CENTER LOCK
ALL ALLOYS",Perambur, Chennai, Tamil Nadu
Maruti Suzuki,Baleno RS,Petrol,2018.0,Petrol,Manual,13500,First,595000,Gt. Hyundai New car selling best offer price,Less driven car,Trichy City, Tiruchirappalli, Tamil Nadu
Hyundai,i10,2007-2010 Asta 1.2,2008.0,Petrol,Manual,87000,Third,200000,Hyundai i10 2009,"ADDITIONAL VEHICLE INFORMATION:
Color: Gold
Air Conditioning: With Heater
USB Compatibility: Yes
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Rear Window Wiper: Yes
Power Windows: Front & rear
Vehicle Certified: Yes
Fog Lamps: Yes
Adjustable External Mirror: Power
Type of Car: Hatchback
Battery Condition: New
Insurance Type: No Insurance
Condition: New
Power steering: Yes
Adjustable Steering: Yes
Make Month: April
Bluetooth: Yes
Alloy Wheels: Yes
Lock System: Central
Sunroof: Yes
Tyre Condition: New
Number of Airbags: 2 airbags",Nungambakkam, Chennai, Tamil Nadu
Toyota,Corolla,H5 1.8E,2006.0,Petrol,,90000,Second,180000,"Ford Fiesta EXi 1.4, 2006, Diesel","Top model Good Condition
ADDITIONAL VEHICLE INFORMATION:
Air Conditioning: Automatic Climate Control
Cruise Control: Yes
Power steering: Yes
Power Windows: Front & rear
Alloy Wheels: Yes
Lock System: Central
Number of Airbags: 2 airbags
Fog Lamps: Yes",Tondiarpet, Chennai, Tamil Nadu
Maruti Suzuki,Swift,2004-2010 1.3 VXi,2019.0,Petrol,Manual,3000,First,610000,"Maruti Suzuki Swift VXi, 2019, Petrol","Well maintained vehicle good condition
ADDITIONAL VEHICLE INFORMATION:
Color: White
Type of Car: Hatchback
Registration Place: TN
Insurance Type: Comprehensive
Condition: Used
Make Month: March",Nungambakkam, Chennai, Tamil Nadu
Hyundai,i10,2007-2010 Magna Optional 1.1L,2013.0,Petrol,Manual,47000,First,340000,"Hyundai I10 Magna, 2013, Petrol","ADDITIONAL VEHICLE INFORMATION:
Color: Red
Type of Car: Hatchback
Registration Place: TN
Insurance Type: Comprehensive
Condition: Used
Make Month: December",Nungambakkam, Chennai, Tamil Nadu
Honda,City,2008-2011 1.5 S MT,2011.0,Petrol,Manual,83000,First,415000,"Honda City 1.5 S MT, 2010, Petrol","ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Insurance: Yes
Color: Grey
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Automatic Boot: Yes
Flood Affected: No
Rear Window Wiper: Yes
Power Windows: Front & rear
Fog Lamps: Yes
Finance: Yes
Adjustable External Mirror: Power
Type of Car: Sedans
Battery Condition: New
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
ABS: Yes
Make Month: October
Alloy Wheels: Yes
Tyre Condition: New
Number of Airbags: 2 airbags",Nungambakkam, Chennai, Tamil Nadu
Volkswagen,Vento,2010-2013 Diesel Highline,2011.0,Diesel,Manual,113000,Second,465000,"Volkswagen Vento Highline Diesel, 2014, Diesel",Car in good maintained condition.,KK Nagar, Tiruchirappalli, Tamil Nadu
Maruti Suzuki,Swift Dzire,Swift Dzire Tour,2018.0,Diesel,Manual,48000,First,549999,"Toyota Innova 2.0 G4, 2008, Diesel","All papers current
Good condition
ADDITIONAL VEHICLE INFORMATION:
Color: White
Air Conditioning: With Heater
USB Compatibility: Yes
Aux Compatibility: Yes
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Automatic Boot: Yes
Flood Affected: No
Power Windows: Front
Type of Car: Sedans
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
ABS: Yes
Make Month: August
Bluetooth: Yes
Lock System: Remote Controlled Central
Tyre Condition: New
Number of Airbags: 1 airbag",Periyar, Madurai, Tamil Nadu
Hyundai,Santro Xing,XO eRLX - Euro III,2006.0,Petrol,Manual,41000,Second,165000,"Hyundai Santro Xing XL eRLX - Euro II, 2006, Petrol","vehicle is very good condition price is negotiable loans available any other information please contact me at
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Insurance: Yes
Color: Blue
Service History: Available
Registration Place: TN
Accidental: No
Flood Affected: No
Vehicle Certified: Yes
Finance: Yes
Exchange: Yes
Type of Car: Hatchback
Battery Condition: New
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Make Month: June
Tyre Condition: New",Gandhipuram, Coimbatore, Tamil Nadu
